0,Linli Xu
1,Manish Gupta
2,Shane Bergsma
3,Alina Beygelzimer
4,Richard L. Lewis
5,Fernando C. N. Pereira
6,Deli Zhao
7,Shai Shalev-Shwartz
8,Songyun Duan
9,Stefano Lonardi
10,Gabriele Röger
11,Simeon J. Simoff
12,Roberta Cochrane
13,Masaaki Nishino
14,M. Tamer Özsu
15,Sandra Zilles
16,Tao Cheng
17,Wook-Shin Han
18,Richard Sidle
19,Christof Bornhövd
20,Dimitris Achlioptas
21,Chotirat Ann Ratanamahatana
22,Hector Gonzalez
23,Shengliang Xu
24,Jasmina Bogojeska
25,W. Lewis Johnson
26,Benjamin C. M. Fung
27,Georgios Paltoglou
28,Benjamin Taskar
29,Christian K. Machens
30,Chung-Min Chen
31,Anat Eyal
32,Wei Hong
33,Cindy Xide Lin
34,Matthew J. Beal
35,Szymon Jaroszewicz
36,Shojiro Nishio
37,Takuya Akiba
38,Katja Hofmann
39,Ming Yang
40,Yan Liu 0002
41,Yang Li
42,Gregor Hackenbroich
43,Michael Hammer
44,Kien A. Hua
45,Luc Segoufin
46,Chuong B. Do
47,Robert Dale
48,Wei Wu
49,Flavio Paiva Junqueira
50,Henrik Boström
51,Atul Adya
52,Illah R. Nourbakhsh
53,Peter Dayan
54,Herman L. Ferrá
55,Jan Ramon
56,Weiming Hu
57,Shaul Dar
58,Manny Rayner
59,Aris M. Ouksel
60,Yu Cheng
61,Vikas Sindhwani
62,Sachindra Joshi
63,Jimmy J. Lin
64,Thorsten Brants
65,Nam Nguyen
66,Frank Nielsen
67,Xiaoyan Zhu
68,Peter D. Turney
69,Dinusha Vatsalan
70,Luc De Raedt
71,Arnold P. Boedihardjo
72,Qiaozhu Mei
73,Ashish Verma
74,Moira C. Norrie
75,Stanley B. Zdonik
76,Sheng Zhang
77,Marc Bron
78,H. Brendan McMahan
79,Bingsheng Wang
80,Dayou Liu
81,Parikshit Ram
82,Ning Zhong
83,Hisashi Kashima
84,Jun Yu
85,Anton Schwaighofer
86,Altigran Soares da Silva
87,Qi Tian
88,Fangzhao Wu
89,Johann Christoph Freytag
90,Paul R. Cooper
91,Shan Wang
92,Jong Wook Kim
93,Bhaskar Mitra
94,Lukasz Golab
95,Gabriel Bender
96,Dimitris Plexousakis
97,Raghavendra Udupa
98,Gaurav Pandey
99,Mohand Boughanem
100,Rama Chellappa
101,Jun Gao
102,José Miguel Hernández-Lobato
103,Ronny Lempel
104,Gautam Biswas
105,Sebastian Tschiatschek
106,Guan Wang
107,Dong-Chul Park
108,Yatin P. Saraiya
109,Rui Zhang
110,Subbarao Kambhampati
111,Mukund Raghavachari
112,Prem Melville
113,Felix Brandt
114,Karsten Steinhaeuser
115,Guido Sanguinetti
116,Stavros S. Cosmadakis
117,Anthony J. Robinson
118,Igor V. Cadez
119,Chiaki Sakama
120,Sergey Levine
121,Hiroaki Ueda
122,Arthur Choi
123,Fillia Makedon
124,Ilya Shpitser
125,James T. Kwok
126,Jochen L. Leidner
127,Michael Gillmann
128,Iosif Lazaridis
129,Sheng-Jun Huang
130,Pang-Ning Tan
131,Lane A. Hemaspaandra
132,Richard Nock
133,Matthew Botvinick
134,Noam Hazon
135,Yang Wang 0002
136,Yang Wang 0003
137,Yidong Yuan
138,Yuri Malitsky
139,Ann E. Nicholson
140,Yun Peng
141,Markus Ojala
142,Anisoara Nica
143,Curt J. Ellmann
144,Jeffrey Chan
145,Gary William Flake
146,Paul Brown
147,Alpa Jain
148,James Allan
149,Manish Jain
150,Raman Arora
151,Iain A. Matthews
152,Steven M. Beitzel
153,Rada Mihalcea
154,Branislav Bosanský
155,Vladimir Estivill-Castro
156,Sten-Åke Tärnlund
157,Yanjie Fu
158,Maria Luisa Sapino
159,Sean Moran
160,Dmitry Lychagin
161,Ming Tan
162,Shie Mannor
163,Lu Wang
164,Shu Wu
165,Rianne Kaptein
166,Nobuhiro Yugami
167,Eneko Agirre
168,Ting Chen
169,Fei Wu 0003
170,Bruno Zanuttini
171,Jie Zhang 0002
172,Ioannis Caragiannis
173,Mijung Kim
174,Barbara J. Grosz
175,Jiebo Luo
176,Chin-Wan Chung
177,Ling Chen
178,Martin Ester
179,Zhilin Yang
180,Éric Grégoire
181,Phillip C.-Y. Sheu
182,Alexandre Pouget
183,Amos Azaria
184,Jiyun Luo
185,Ben Taskar
186,Akrivi Vlachou
187,Kevin Knight
188,Zhongfei (Mark) Zhang
189,Miguel Martinez-Alvarez
190,Saptarshi Ghosh
191,Minghao Yin
192,Liang Wang 0001
193,Maarten Marx
194,Kazumi Saito
195,Jesse Read
196,Stephen T. Barnard
197,Eric W. Brown 0001
198,Thomas Petsche
199,Michael Lesk
200,Ranieri Baraglia
201,Bin Li
202,Niels Nes
203,Yue Zhuge
204,David A. McAllester
205,Meng Fang
206,Donald Kossmann
207,Dong Liu
208,Jean-Pierre Chevallet
209,Finale Doshi-Velez
210,Babak Hassibi
211,Thomas Neumann 0001
212,Lev-Arie Ratinov
213,Pasquale Lops
214,Ashish Gupta 0001
215,Alon Altman
216,Donald D. Chamberlin
217,Brian D. Davison 0001
218,Mihai Georgescu
219,Philipp Mayr
220,Ian Miguel
221,Shen-Shyang Ho
222,David J. Hand
223,Rainer Gemulla
224,Branislav Kveton
225,Gert R. G. Lanckriet
226,David Maier
227,Xiao He
228,Stephan Vogel
229,Murat Kantarcioglu
230,Tracy Hammond
231,Yiu-Kai Ng
232,Rodrigo de Salvo Braz
233,Chao Liu
234,Shuiwang Ji
235,Gail E. Kaiser
236,Feida Zhu
237,Padhraic Smyth
238,Ya'akov (Kobi) Gal
239,Matthew Michelson
240,Ion Muslea
241,Shantanu Godbole
242,Shai Ben-David
243,Bin Wang 0004
244,Hanmo Wang
245,Jian Xu
246,Vishwa Vinay
247,Laurence A. F. Park
248,Marie-Odile Cordier
249,I. V. Ramakrishnan
250,Kai Wei
251,Berthe Y. Choueiry
252,Olivier Bousquet
253,Lois M. L. Delcambre
254,David Beech
255,Chang Wang 0001
256,Nicholas J. Belkin
257,Bo Yang 0002
258,Fahiem Bacchus
259,Jonas Poelmans
260,Andreas Nürnberger
261,Anindya Datta
262,Ji Zhang
263,Weiran Wang
264,Xiangdong Zhou
265,Russel Pears
266,Amir Massoud Farahmand
267,Jun Du
268,Bilson J. L. Campana
269,Michael P. Wellman
270,Nimrod Megiddo
271,Pedro M. Domingos
272,Ugur Kuter
273,Liangda Fang
274,Jing Peng
275,Fabrice Guillet
276,Ahmed K. Elmagarmid
277,Jianping Zhang
278,Chen Chen
279,Shizhong Liao
280,Quan Yuan
281,Ming T. Liu
282,Liang Xiong
283,Ying Wang
284,Joachim M. Buhmann
285,Foster J. Provost
286,Isaac Meilijson
287,Kenneth D. Forbus
288,Ihab F. Ilyas
289,Alex Pentland
290,Laurent Amsaleg
291,Pradheep Elango
292,Feng Li
293,Yong Li
294,Diane J. Cook
295,Mark A. Gluck
296,Han Su
297,Wen Gao 0001
298,Maya Ramanath
299,Ouri Wolfson
300,Wei Jiang
301,Haifeng Chen
302,Eric P. Xing
303,Ikumi Suzuki
304,Masashi Sugiyama
305,Robert Demolombe
306,Leemon C. Baird III
307,Yusheng Xie
308,Trevor Cohn
309,Debra T. Burhans
310,Prasenjit Mitra
311,Tomasz Imielinski
312,Isabel Valera
313,Tetsuhiro Miyahara
314,Nicolas Le Roux
315,Dallan Quass
316,Tze-Yun Leong
317,Stephen Gould
318,Adam Sadilek
319,Sergei Vassilvitskii
320,Spyros Kotoulas
321,Mark Dredze
322,Bernhard Seeger
323,David Page
324,Ricardo Bezerra de Andrade e Silva
325,Zhoujun Li
326,Matthew Morgenstern
327,Michael J. Maher
328,Kyriakos Mouratidis
329,Rene Quiniou
330,Xiaobing Xue
331,Son Dao
332,Radu Soricut
333,Jennifer T. Chayes
334,Wayne Xin Zhao
335,Jiajun Bu
336,Alexander L. Strehl
337,Donald Metzler
338,Charles L. A. Clarke
339,Douglas W. Oard
340,Rudolf Bayer
341,Anirban Majumder
342,Changhe Yuan
343,Ryota Tomioka
344,Brian D. Ziebart
345,Young-In Song
346,Ryohei Nakano
347,Xin Li
348,Chuan Xiao
349,Ana L. C. Bazzan
350,Nicola Onose
351,Gerald Penn
352,Chiranjib Bhattacharyya
